date,product_id,sales_qty,inventory_qty,purchase_qty,unit_price,avg_demand_7,avg_demand_30,demand_volatility,inventory_coverage,demand_change,inventory_stress
2023-01-01,P001,18,633,21,173,18.0,18.0,,35.166666666666664,,0.02843601895734597
2023-01-02,P001,25,608,39,173,21.5,21.5,4.949747468305833,28.27906976744186,3.5,0.03536184210526316
2023-01-03,P001,21,587,35,173,21.333333333333332,21.333333333333332,3.511884584284246,27.515625,-0.16666666666666785,0.03634298693923907
2023-01-04,P001,20,567,36,173,21.0,21.0,2.943920288775949,27.0,-0.33333333333333215,0.037037037037037035
2023-01-05,P001,25,542,23,173,21.8,21.8,3.1144823004794873,24.862385321100916,0.8000000000000007,0.040221402214022144
2023-01-06,P001,23,519,35,173,22.0,22.0,2.8284271247461903,23.59090909090909,0.1999999999999993,0.04238921001926782
2023-01-07,P001,32,487,24,173,23.428571428571427,23.428571428571427,4.577377082170635,20.78658536585366,1.428571428571427,0.04810794954532121
2023-01-08,P001,30,457,32,173,25.142857142857142,24.25,4.450789122113495,18.176136363636363,1.7142857142857153,0.05501719287277274
2023-01-09,P001,21,436,7,173,24.571428571428573,23.88888888888889,4.720774754816659,17.744186046511626,-0.5714285714285694,0.056356487549148106
2023-01-10,P001,29,407,36,173,25.714285714285715,24.4,4.680252333449759,15.827777777777778,1.1428571428571423,0.06318006318006318
2023-01-11,P001,22,385,26,173,26.0,24.181818181818183,4.320493798938575,14.807692307692308,0.2857142857142847,0.06753246753246753
2023-01-12,P001,29,356,19,173,26.571428571428573,24.583333333333332,4.429339411136567,13.39784946236559,0.571428571428573,0.07463884430176565
2023-01-13,P001,22,334,23,173,26.428571428571427,24.384615384615383,4.577377082170636,12.63783783783784,-0.1428571428571459,0.07912745936698032
2023-01-14,P001,28,306,35,173,25.857142857142858,24.642857142857142,3.976119189552021,11.834254143646408,-0.5714285714285694,0.08450046685340803
2023-01-15,P001,21,285,30,173,24.571428571428573,24.4,3.8668308667927236,11.598837209302324,-1.2857142857142847,0.0862155388471178
2023-01-16,P001,27,258,9,173,25.428571428571427,24.5625,3.5989416433697508,10.146067415730338,0.8571428571428541,0.09856035437430785
2023-01-17,P001,25,233,24,173,24.857142857142858,24.58823529411765,3.2366943748507504,9.373563218390805,-0.5714285714285694,0.1066830165542612
2023-01-18,P001,31,202,6,173,26.142857142857142,24.944444444444443,3.670993118515817,7.726775956284153,1.2857142857142847,0.12942008486562942
2023-01-19,P001,27,175,25,173,25.857142857142858,25.05263157894737,3.4846602621858493,6.767955801104972,-0.2857142857142847,0.14775510204081632
2023-01-20,P001,27,148,32,173,26.571428571428573,25.15,3.047247001100221,5.569892473118279,0.7142857142857153,0.17953667953667954
2023-01-21,P001,26,390,24,173,26.285714285714285,25.19047619047619,2.984084768360629,14.83695652173913,-0.28571428571428825,0.0673992673992674
2023-01-22,P001,35,355,15,173,28.285714285714285,25.636363636363637,3.4982989063393695,12.55050505050505,2.0,0.07967806841046278
2023-01-23,P001,21,334,7,173,27.428571428571427,25.434782608695652,4.466808810815721,12.177083333333334,-0.8571428571428577,0.08212147134302822
2023-01-24,P001,31,303,24,173,28.285714285714285,25.666666666666668,4.498677054212186,10.712121212121213,0.8571428571428577,0.09335219236209334
2023-01-25,P001,29,274,36,173,28.0,25.8,4.358898943540673,9.785714285714286,-0.2857142857142847,0.10218978102189781
2023-01-26,P001,21,253,29,173,27.142857142857142,25.615384615384617,5.113008619478081,9.321052631578947,-0.8571428571428577,0.10728402032749859
2023-01-27,P001,19,234,25,173,26.0,25.37037037037037,5.97215762238964,9.0,-1.1428571428571423,0.1111111111111111
2023-01-28,P001,21,213,20,173,25.285714285714285,25.214285714285715,6.264031867582991,8.423728813559322,-0.7142857142857153,0.11871227364185111
2023-01-29,P001,28,185,5,173,24.285714285714285,25.310344827586206,4.855041562276125,7.61764705882353,-1.0,0.13127413127413126
2023-01-30,P001,26,159,27,173,25.0,25.333333333333332,4.6547466812563165,6.36,0.7142857142857153,0.15723270440251572
2023-01-31,P001,30,129,28,173,24.857142857142858,25.733333333333334,4.450789122113497,5.189655172413793,-0.14285714285714235,0.19269102990033224
2023-02-01,P001,27,447,29,173,24.571428571428573,25.8,4.197504927816959,18.191860465116278,-0.2857142857142847,0.054969638862256316
2023-02-02,P001,27,420,11,173,25.428571428571427,26.0,3.952094080237418,16.516853932584272,0.8571428571428541,0.060544217687074825
2023-02-03,P001,31,389,39,173,27.142857142857142,26.366666666666667,3.2366943748507477,14.33157894736842,1.7142857142857153,0.0697759823723834
2023-02-04,P001,33,356,18,173,28.857142857142858,26.633333333333333,2.5448360411214006,12.336633663366337,1.7142857142857153,0.0810593900481541
2023-02-05,P001,23,333,13,173,28.142857142857142,26.633333333333333,3.387652649872837,11.83248730964467,-0.7142857142857153,0.08451308451308451
2023-02-06,P001,25,308,7,173,28.0,26.4,3.5118845842842434,11.0,-0.14285714285714235,0.09090909090909091
2023-02-07,P001,23,285,24,173,27.0,26.166666666666668,3.829708431025352,10.555555555555555,-1.0,0.09473684210526316
2023-02-08,P001,19,266,37,173,25.857142857142858,26.1,4.879500364742667,10.287292817679559,-1.1428571428571423,0.09720730397422127
2023-02-09,P001,28,238,36,173,26.0,26.066666666666666,4.932882862316248,9.153846153846153,0.14285714285714235,0.1092436974789916
2023-02-10,P001,25,213,30,173,25.142857142857142,26.166666666666668,4.413183712037207,8.47159090909091,-0.8571428571428577,0.11804158283031523
2023-02-11,P001,21,192,9,173,23.428571428571427,25.9,2.9358214555806477,8.195121951219512,-1.7142857142857153,0.12202380952380952
2023-02-12,P001,32,160,34,173,24.714285714285715,26.233333333333334,4.34796066044323,6.473988439306358,1.2857142857142883,0.15446428571428572
2023-02-13,P001,23,137,21,173,24.428571428571427,26.066666666666666,4.391550328268403,5.608187134502924,-0.28571428571428825,0.17831074035453595
2023-02-14,P001,26,365,10,173,24.857142857142858,26.233333333333334,4.375255094603876,14.683908045977011,0.4285714285714306,0.06810176125244619
2023-02-15,P001,20,345,19,173,25.0,26.0,4.163331998932269,13.8,0.14285714285714235,0.07246376811594203
2023-02-16,P001,28,317,5,173,25.0,26.1,4.163331998932269,12.68,0.0,0.07886435331230283
2023-02-17,P001,30,287,17,173,25.714285714285715,26.066666666666666,4.5721725585067245,11.161111111111111,0.7142857142857153,0.0895968143354903
2023-02-18,P001,20,267,38,173,25.571428571428573,25.833333333333332,4.755948656056712,10.441340782122904,-0.14285714285714235,0.09577314071696094
2023-02-19,P001,25,242,34,173,24.571428571428573,25.766666666666666,3.823486317361114,9.848837209302324,-1.0,0.10153482880755609
2023-02-20,P001,26,216,23,173,25.0,25.766666666666666,3.785938897200187,8.64,0.42857142857142705,0.11574074074074074
2023-02-21,P001,20,196,6,173,24.142857142857142,25.266666666666666,4.180453381654974,8.118343195266272,-0.8571428571428577,0.12317784256559766
2023-02-22,P001,32,164,16,173,25.857142857142858,25.633333333333333,4.634241089562617,6.342541436464089,1.7142857142857153,0.15766550522648085
2023-02-23,P001,21,143,28,173,24.857142857142858,25.3,4.845223470201401,5.75287356321839,-1.0,0.17382617382617382
2023-02-24,P001,24,367,15,173,24.0,25.133333333333333,4.281744192888381,15.291666666666666,-0.8571428571428577,0.0653950953678474
2023-02-25,P001,28,339,6,173,25.142857142857142,25.366666666666667,4.099941927579444,13.482954545454545,1.1428571428571423,0.0741677201854193
2023-02-26,P001,30,309,5,173,25.857142857142858,25.733333333333334,4.488079449258578,11.950276243093922,0.7142857142857153,0.0836800739713361
2023-02-27,P001,22,287,32,173,25.285714285714285,25.766666666666666,4.715728494951259,11.350282485875706,-0.571428571428573,0.08810353409656545
2023-02-28,P001,26,261,8,173,26.142857142857142,25.7,4.099941927579445,9.98360655737705,0.8571428571428577,0.10016420361247948
2023-03-01,P001,17,244,34,173,24.0,25.4,4.434711565216692,10.166666666666666,-2.1428571428571423,0.09836065573770492
2023-03-02,P001,22,222,11,173,24.142857142857142,25.133333333333333,4.336994790119516,9.195266272189349,0.14285714285714235,0.10875160875160875
2023-03-03,P001,26,196,26,173,24.428571428571427,25.1,4.391550328268401,8.023391812865498,0.2857142857142847,0.12463556851311952
