Date,Close
1/1/2020,173.4765472
2/1/2020,126.6693115
3/1/2020,69.79337311
4/1/2020,91.60072327
5/1/2020,85.46126556
6/1/2020,96.51229858
7/1/2020,102.7991028
8/1/2020,140.6672821
9/1/2020,130.9423828
10/1/2020,130.3038635
11/1/2020,177.1602325
12/1/2020,180.5983429
1/1/2021,258.0537415
2/1/2021,317.2381287
3/1/2021,296.4621887
4/1/2021,288.6528015
5/1/2021,313.1123962
6/1/2021,333.5936584
7/1/2021,288.7510071
8/1/2021,282.2186584
9/1/2021,327.4541931
10/1/2021,475.144989
11/1/2021,450.4889526
12/1/2021,473.867981
1/1/2022,508.592804
2/1/2022,446.0193787
3/1/2022,426.0784607
4/1/2022,429.8603516
5/1/2022,435.7050781
6/1/2022,404.5166626
7/1/2022,441.6481018
8/1/2022,462.7678833
9/1/2022,397.4440002
10/1/2022,405.4498596
11/1/2022,431.62854
12/1/2022,381.088501
1/1/2023,444.1039124
2/1/2023,413.2592773
3/1/2023,413.3574829
4/1/2023,476.3728943
5/1/2023,516.9915161
6/1/2023,585.0167847
7/1/2023,632.90448
8/1/2023,592.2103882
9/1/2023,620.9832764
10/1/2023,619.4559937
11/1/2023,696.0689087
12/1/2023,768.5432129
1/1/2024,871.2685547
2/1/2024,936.3032837
3/1/2024,978.2802734
4/1/2024,993.1594849
5/1/2024,909.5010986
6/1/2024,975.2749023
7/1/2024,1146.790161
8/1/2024,1101.876221
9/1/2024,966.3416138
10/1/2024,826.9401245
11/1/2024,779.7459106
12/1/2024,733.8405762
