Date,Close
1/1/2020,183.1101685
2/1/2020,153.8312378
3/1/2020,133.7019653
4/1/2020,141.7614594
5/1/2020,153.6755066
6/1/2020,151.5730286
7/1/2020,151.1836548
8/1/2020,156.4601746
9/1/2020,140.5767212
10/1/2020,135.2958832
11/1/2020,158.5478973
12/1/2020,171.1154938
1/1/2021,166.4077759
2/1/2021,166.8990021
3/1/2021,183.1336517
4/1/2021,169.8072357
5/1/2021,181.5411835
6/1/2021,169.8910522
7/1/2021,176.5542145
8/1/2021,182.0244293
9/1/2021,203.4314423
10/1/2021,192.2756805
11/1/2021,190.5096893
12/1/2021,187.8392029
1/1/2022,189.6913147
2/1/2022,185.9440308
3/1/2022,220.9118805
4/1/2022,228.7559509
5/1/2022,238.5390167
6/1/2022,246.7050934
7/1/2022,273.3600769
8/1/2022,289.1004944
9/1/2022,299.6542664
10/1/2022,314.5377197
11/1/2022,306.690094
12/1/2022,299.0679016
1/1/2023,317.8301086
2/1/2023,339.7945557
3/1/2023,351.3839111
4/1/2023,389.9124451
5/1/2023,408.1917419
6/1/2023,422.7229309
7/1/2023,435.9213257
8/1/2023,411.5838928
9/1/2023,415.9833374
10/1/2023,401.0064392
11/1/2023,407.9332275
12/1/2023,432.5514832
1/1/2024,413.3155518
2/1/2024,380.3195801
3/1/2024,406.8484497
4/1/2024,413.7820435
5/1/2024,405.0438538
6/1/2024,403.5716248
7/1/2024,478.8302307
8/1/2024,485.1617737
9/1/2024,500.869873
10/1/2024,472.4986572
11/1/2024,460.8505249
12/1/2024,467.5204163
