order_id,customer_id,order_date
1,338,2023-09-01
2,480,2023-03-23
3,42,2023-11-06
4,178,2023-10-22
5,263,2023-06-08
6,490,2023-10-28
7,4,2023-04-14
8,310,2023-09-15
9,105,2023-12-17
10,173,2023-08-23
11,287,2023-05-22
12,80,2023-04-14
13,61,2023-01-04
14,173,2023-03-15
15,378,2023-08-17
16,387,2023-02-02
17,431,2023-07-24
18,433,2023-11-06
19,3,2023-05-07
20,3,2023-09-27
21,477,2023-06-18
22,83,2023-10-19
23,260,2023-09-09
24,59,2023-08-24
25,35,2023-08-25
26,309,2023-10-22
27,400,2023-01-21
28,376,2023-02-16
29,179,2023-05-28
30,154,2023-11-27
31,166,2023-08-22
32,369,2023-06-27
33,68,2023-12-25
34,369,2023-12-31
35,418,2023-06-02
36,243,2023-07-20
37,277,2023-11-10
38,169,2023-03-31
39,443,2023-08-01
40,89,2023-05-08
41,259,2023-04-02
42,237,2023-11-13
43,312,2023-08-10
44,190,2023-08-23
45,402,2023-07-16
46,217,2023-12-04
47,224,2023-04-04
48,84,2023-12-24
49,15,2023-10-19
50,194,2023-02-18
51,254,2023-07-21
52,245,2023-12-24
53,30,2023-01-23
54,460,2023-05-03
55,167,2023-03-22
56,320,2023-05-21
57,235,2023-11-18
58,246,2023-10-03
59,185,2023-05-30
60,495,2023-12-08
61,319,2023-02-04
62,7,2023-12-24
63,86,2023-04-22
64,328,2023-09-10
65,215,2023-07-30
66,23,2023-10-11
67,332,2023-03-04
68,262,2023-07-08
69,186,2023-02-09
70,14,2023-02-23
71,284,2023-09-16
72,261,2023-06-16
73,452,2023-07-29
74,56,2023-08-19
75,121,2023-03-26
76,153,2023-05-10
77,411,2023-04-17
78,444,2023-09-17
79,132,2023-01-23
80,29,2023-08-25
81,233,2023-01-14
82,111,2023-02-07
83,114,2023-11-24
84,475,2023-12-22
85,263,2023-12-12
86,416,2023-08-25
87,404,2023-07-15
88,320,2023-06-25
89,368,2023-07-24
90,43,2023-04-10
91,356,2023-07-23
92,414,2023-01-20
93,316,2023-01-06
94,477,2023-05-09
95,156,2023-02-28
96,40,2023-12-30
97,323,2023-03-11
98,475,2023-06-17
99,469,2023-12-10
100,293,2023-08-26
101,355,2023-09-06
102,315,2023-08-25
103,276,2023-02-04
104,447,2023-02-12
105,201,2023-10-08
106,163,2023-12-03
107,314,2023-05-05
108,377,2024-01-01
109,138,2023-08-13
110,241,2023-03-13
111,59,2023-08-30
112,373,2023-05-23
113,149,2023-03-24
114,299,2023-03-29
115,233,2023-01-10
116,299,2023-11-07
117,216,2023-02-21
118,359,2023-04-01
119,129,2023-05-31
120,174,2023-03-05
121,127,2023-10-01
122,363,2023-07-20
123,415,2023-03-28
124,63,2023-02-09
125,430,2023-12-10
126,151,2023-01-06
127,274,2023-12-13
128,446,2023-05-20
129,283,2023-03-20
130,489,2023-08-14
131,44,2023-07-03
132,174,2023-04-02
133,61,2023-04-21
134,140,2024-01-01
135,227,2023-01-18
136,361,2023-12-12
137,272,2023-09-30
138,405,2023-04-21
139,475,2023-08-15
140,100,2023-12-23
141,117,2023-01-25
142,192,2023-11-22
143,123,2023-09-25
144,269,2023-11-25
145,434,2023-12-06
146,128,2023-12-04
147,8,2023-02-22
148,440,2023-07-19
149,184,2023-12-20
150,136,2023-06-07
151,464,2023-08-16
152,215,2023-01-27
153,173,2023-11-03
154,354,2023-01-03
155,152,2023-01-25
156,374,2023-07-13
157,21,2023-04-14
158,141,2023-05-08
159,306,2023-07-11
160,435,2023-05-03
161,4,2023-04-13
162,221,2023-02-16
163,382,2023-01-09
164,444,2023-08-04
165,196,2023-01-15
166,149,2023-01-08
167,418,2023-06-22
168,73,2023-04-09
169,409,2023-12-15
170,105,2023-12-09
171,341,2023-02-02
172,132,2023-04-23
173,320,2023-02-19
174,336,2023-12-07
175,25,2023-03-27
176,424,2023-03-27
177,7,2023-01-23
178,382,2023-08-01
179,173,2023-09-20
180,5,2023-02-25
181,296,2023-06-17
182,277,2023-06-15
183,162,2023-10-15
184,432,2023-11-17
185,406,2023-04-08
186,91,2023-11-16
187,498,2023-04-17
188,252,2023-10-05
189,61,2023-07-22
190,202,2023-08-08
191,489,2023-03-03
192,335,2023-04-29
193,119,2023-04-20
194,387,2023-02-24
195,111,2023-07-02
196,205,2023-06-15
197,474,2023-03-30
198,56,2023-01-08
199,193,2023-07-25
200,367,2023-12-01
201,73,2023-06-11
202,167,2023-01-07
203,26,2023-07-19
204,274,2023-04-19
205,328,2023-08-23
206,15,2023-04-23
207,302,2023-02-03
208,278,2023-12-03
209,422,2023-05-23
210,302,2023-11-29
211,4,2023-11-16
212,21,2023-07-08
213,464,2023-01-23
214,46,2023-02-04
215,89,2023-04-22
216,279,2023-07-30
