date,close,high,low,open,volume
2019-01-01,1610.9281005859375,1617.0236457656654,1595.8584148001462,1605.1711164249746,1094883
2019-01-02,1628.2835693359375,1637.7231795502098,1608.5575329877986,1612.79057912724,2100463
2019-01-03,1608.515380859375,1646.6128013172279,1602.7161275255198,1624.6433301915463,2611668
2019-01-04,1588.9586181640625,1609.5735336142336,1558.6076959224151,1608.5576438091193,4280862
2019-01-07,1606.77978515625,1616.007847046197,1592.4720675484448,1601.615489178933,1856423
2019-01-08,1603.0970458984375,1613.9759544936617,1594.419300765359,1613.1293452123857,1691756
2019-01-09,1597.50927734375,1624.6431450493837,1580.365440091405,1614.822498453014,2414376
2019-01-10,1598.8638916015625,1612.7905720004433,1584.9371078568295,1600.091433638235,3053461
2019-01-11,1559.9200439453125,1587.3924750416884,1553.528102240799,1583.1594284415771,9209862
2019-01-14,1535.114501953125,1567.0740069572503,1532.363021389856,1566.2273975531675,3615370
2019-01-15,1581.296875,1582.609057393477,1530.6695980620375,1532.3628166439646,7711653
2019-01-16,1583.286376953125,1587.3924113212372,1563.6873513121734,1583.1593648910473,2359280
2019-01-17,1607.169677734375,1610.3088052111514,1587.6559250895612,1593.3403246504438,2625816
2019-01-18,1612.556884765625,1615.5687274300783,1591.6432151957677,1595.8853346392532,1683728
2019-01-21,1619.3865966796875,1639.1549142463548,1608.1449804199751,1613.7021981866287,2409803
2019-01-22,1613.617431640625,1627.4891416536134,1603.5211665451995,1618.0291944814203,2457093
2019-01-23,1591.3038330078125,1617.1807617444829,1586.5526799204551,1612.8538206036285,2578169
2019-01-24,1613.32080078125,1616.459928353064,1590.795100727986,1599.1096978814132,1962927
2019-01-25,1629.6524658203125,1641.7000422746614,1612.853633263117,1613.7020570575742,2327080
2019-01-28,1658.668701171875,1664.6076683883473,1633.6401964738852,1640.003375634391,2769033
2019-01-29,1682.212890625,1687.5580039021347,1643.100560180838,1664.6080904835455,2557626
2019-01-30,1681.0673828125,1687.9395966972877,1658.3720401577364,1679.5401781414869,2429575
2019-01-31,1708.810546875,1713.6041625971006,1684.1214322343085,1685.8182800249729,4094319
2019-02-01,1722.2584228515625,1726.3308998698085,1695.2361365686763,1704.908191811466,3064163
2019-02-04,1739.48095703125,1743.892719519224,1716.3614076694153,1722.2579118595256,1590764
2019-02-05,1734.6453857421875,1743.5113753969354,1720.6039266690923,1739.2692552621495,1111404
2019-02-06,1760.3099365234375,1770.5334858720707,1731.6756301037794,1739.1840572840904,1789812
2019-02-07,1767.18212890625,1779.9509505372378,1753.6922712123624,1760.2675566994915,1339945
2019-02-08,1748.9407958984375,1772.7815883152164,1740.1172709425744,1760.4794428112343,1684474
2019-02-11,1752.7589111328125,1778.2965542359977,1738.3357043475014,1747.7532928082803,1778730
2019-02-12,1740.626220703125,1756.2371346012555,1712.1191003020936,1756.2371346012555,2422903
2019-02-14,1734.687255859375,1760.4793597225162,1724.8880232504903,1747.7954655215785,1724085
2019-02-15,1722.0460205078125,1740.9659156969665,1706.138071716722,1738.4206438903918,1930065
2019-02-18,1671.6500244140625,1732.4395275526492,1665.1595594180628,1728.7489034780278,2942184
2019-02-19,1616.078125,1672.243754054217,1605.2182560479853,1671.3953300288217,4408554
2019-02-20,1624.5196533203125,1640.6821699506822,1596.1399154530632,1624.7317592941106,4645778
