date,close,high,low,open,volume,daily_return,return_5d,return_10d,volatility_10d,rolling_max,drawdown,volume_mean_20d,volume_std_20d,volume_zscore,high_52w,dist_from_52w_high,panic_sell
2020-01-13,1919.9798583984373,1945.0494318706883,1915.0271490308307,1944.0853409705865,2843893,-0.0104807359415345,-0.0045897103834651,0.0032754090258633,0.0127693384138272,1989.4906005859373,-0.0349389648621752,3603601.0,1934266.1453562889,-0.3927629100182917,1989.4906005859373,-0.0349389648621752,False
2020-01-14,1934.487060546875,1954.5604843626104,1924.056045038964,1924.056045038964,2948452,0.0075559137170007,0.0004763325838066,0.0209098393711419,0.0123980278627981,1989.4906005859373,-0.0276470469490345,3472314.75,1881875.516773538,-0.2783726900800319,1989.4906005859373,-0.0276470469490345,False
2020-01-15,1952.01806640625,1955.6120603215609,1923.354498999865,1939.8339262624893,2620681,0.009062353642427,-0.0125705594230537,0.0273574680808552,0.0125916846434609,1989.4906005859373,-0.0188352406232283,3300365.15,1787782.775328946,-0.3801827377349803,1989.4906005859373,-0.0188352406232283,False
2020-01-16,1962.448974609375,1971.389872984284,1941.58673573152,1952.0616191120848,3117214,0.0053436535156299,0.0110413201435699,0.0376102846189805,0.0123354085120369,1989.4906005859373,-0.0135922361073724,3043671.8,1355948.01136783,0.0542367401872683,1989.4906005859373,-0.0135922361073724,False
2020-01-17,1945.181640625,1975.3792025153964,1939.8345190690643,1964.1591498436533,3281059,-0.0087988702930795,0.0025077591683004,0.0083842131438334,0.0114679501991351,1989.4906005859373,-0.0222715100779503,2895149.5,1129934.47767351,0.3415326354095968,1989.4906005859373,-0.0222715100779503,False
2020-01-20,1902.4483642578125,1965.429279844001,1890.044870894102,1923.967812120634,5817599,-0.0219687845467516,-0.009131082320441,-0.0136788836805678,0.0135708586174118,1989.4906005859373,-0.0437510166182687,2908612.55,1164292.496756875,2.498501414466685,1989.4906005859373,-0.0437510166182687,True
2020-01-21,1903.0616455078125,1916.6483684492264,1891.666329492433,1902.0973408585244,1902980,0.0003223642026359,-0.0162448308287875,-0.0157762361872231,0.0135221091390619,1989.4906005859373,-0.0434427561772194,2891395.1,1177062.25347398,-0.8397305215444578,1989.4906005859373,-0.0434427561772194,False
2020-01-22,1934.487060546875,1937.2044918159952,1905.385207814645,1911.7841613804007,1773686,0.0165130830697168,-0.0089809649618921,-0.021438628631216,0.0124525144987924,1989.4906005859373,-0.0276470469490345,2889784.6,1178646.6120184455,-0.9469323447921922,1989.4906005859373,-0.0276470469490345,False
2020-01-23,1924.866943359375,1948.4122224480568,1918.497429837676,1941.427764312042,2069866,-0.0049729550451376,-0.0191505775366621,-0.0083207050506087,0.0112014460448766,1989.4906005859373,-0.0324825144725637,2899259.55,1170840.8137185858,-0.7083743069784604,1989.4906005859373,-0.0324825144725637,False
2020-01-24,1918.2333984375,1924.866519473365,1906.460868730968,1924.866519473365,1319430,-0.0034462355669622,-0.0138538435818473,-0.0113808265168053,0.0112311207332101,1989.4906005859373,-0.0358168076428462,2829218.0,1222856.8914407345,-1.2346399734650977,1989.4906005859373,-0.0358168076428462,False
